"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"SW1","DIP_switch_4_TH","170.945mil","19114.96mil","170.945mil","19114.96mil","20.945mil","19264.96mil","T","360.00","DIPSW4"
"R11","FP_0805_RES","200.945mil","18964.96mil","200.945mil","18964.96mil","161.575mil","18964.96mil","B","0.00","10k"
"R9","FP_0805_RES","200.945mil","19064.96mil","200.945mil","19064.96mil","161.575mil","19064.96mil","B","0.00","10k"
"R8","FP_0805_RES","200.945mil","19164.96mil","200.945mil","19164.96mil","161.575mil","19164.96mil","B","0.00","10k"
"R7","FP_0805_RES","200.945mil","19264.96mil","200.945mil","19264.96mil","161.575mil","19264.96mil","B","0.00","10k"
"R5","FP_0805_RES","-59.055mil","18924.96mil","-59.055mil","18924.96mil","-59.055mil","18885.59mil","T","90.00","10k"
"U1","SOIC-SO20_N","30.945mil","18524.96mil","30.945mil","18524.96mil","-148.189mil","18749.96mil","T","0.00","PIC24F16KA101-I/SO"
"J2","PIN1","-269.055mil","18144.96mil","-269.055mil","18144.96mil","-269.055mil","18144.96mil","T","0.00","ANT"
"U5","RFM12B-S1","30.945mil","18524.96mil","30.945mil","18524.96mil","345.906mil","18761.181mil","B","180.00","RFM12B"
"C1","FP_0805_CAP_060","330.945mil","18724.96mil","330.945mil","18724.96mil","330.945mil","18685.59mil","T","90.00","100nF"
"C2","FP_0805_CAP_060","-309.055mil","18574.96mil","-309.055mil","18574.96mil","-309.055mil","18614.33mil","T","270.00","100nF"
"C4","FP_0603_CAP_080","-239.055mil","19134.96mil","-239.055mil","19134.96mil","-239.055mil","19170.393mil","B","270.00","100nF"
"C5","FP_1206_CAP_085","-39.055mil","19464.96mil","-39.055mil","19464.96mil","-39.055mil","19398.031mil","T","90.00","10uF"
"C7","FP_0603_CAP_080","-149.055mil","19134.96mil","-149.055mil","19134.96mil","-149.055mil","19099.527mil","B","90.00","100nF"
"C8","FP_1206_CAP_085","-137.795mil","19001.339mil","-137.795mil","19001.339mil","-70.866mil","19001.339mil","B","180.00","10uF"
"R3","FP_0805_RES","-309.055mil","18404.96mil","-309.055mil","18404.96mil","-309.055mil","18444.33mil","T","270.00","10K"
"R4","FP_0805_RES","-289.055mil","18274.96mil","-289.055mil","18274.96mil","-249.685mil","18274.96mil","T","180.00","100R"
"R6","FP_0805_RES","-255.905mil","18824.173mil","-255.905mil","18824.173mil","-255.905mil","18784.803mil","T","90.00","270R"
"R12","FP_0805_RES","370.945mil","18264.96mil","370.945mil","18264.96mil","370.945mil","18304.33mil","T","270.00","10k"
"U6","SUPPLY_SOT223","-189.055mil","19144.96mil","-189.055mil","19144.96mil","-98.504mil","19262.086mil","T","270.00","LD1117xx"
"D2","FP_0805_LED_RED","-334.646mil","18824.173mil","-334.646mil","18863.543mil","-334.646mil","18867.48mil","T","270.00","LED_RED"
"P1","HDR1X6","120.945mil","18124.96mil","-129.055mil","18124.96mil","-129.055mil","18124.96mil","T","360.00","Header 6"
"D1","FP_SMA_DO214AC","-199.055mil","19462.283mil","-199.055mil","19544.96mil","-199.055mil","19544.96mil","T","270.00","DIODE_big"

