"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C9","FP_0603_CAP_080","-780mil","7937.795mil","-780mil","7937.795mil","-780mil","7902.362mil","T","90.00","100nF"
"R8","FP_0603_RES","50mil","7727.795mil","50mil","7727.795mil","14.567mil","7727.795mil","T","0.00","10k"
"C12","FP_1210_CAP_N","-60mil","8037.795mil","-60mil","8037.795mil","-2.913mil","8037.795mil","T","180.00","10 uF"
"C13","FP_1210_CAP_N","-60mil","8177.795mil","-60mil","8177.795mil","-2.913mil","8177.795mil","T","180.00","10 uF"
"C14","FP_1210_CAP_N","-60mil","8317.795mil","-60mil","8317.795mil","-2.913mil","8317.795mil","T","180.00","10 uF"
"C15","FP_0603_CAP_080","-260mil","8047.795mil","-260mil","8047.795mil","-295.433mil","8047.795mil","T","360.00","10nF"
"C24","FP_1210_CAP_N","-60mil","7897.795mil","-60mil","7897.795mil","-2.913mil","7897.795mil","T","180.00","10 uF"
"R33","FP_0603_RES","-450mil","8437.795mil","-450mil","8437.795mil","-485.433mil","8437.795mil","T","360.00","47k"
"R34","FP_0603_RES","-70mil","8447.795mil","-70mil","8447.795mil","-105.433mil","8447.795mil","T","360.00","47k"
"R35","FP_0603_RES","-720mil","8257.795mil","-720mil","8257.795mil","-720mil","8222.362mil","T","90.00","47k"
"R36","FP_0603_RES","-400mil","8047.795mil","-400mil","8047.795mil","-435.433mil","8047.795mil","T","360.00","47k"
"T1","FET_SOT23","-580mil","8257.795mil","-580mil","8257.795mil","-632.244mil","8257.795mil","T","0.00","PMBF170"
"T2","FET_SOT23","-860mil","8107.795mil","-860mil","8107.795mil","-912.244mil","8107.795mil","T","0.00","PMBF170"
"T7","FET_SOT23","-280mil","8367.795mil","-280mil","8367.795mil","-227.756mil","8367.795mil","T","180.00","PMBF170"
"T8","FET_SOT23","-860mil","8257.795mil","-860mil","8257.795mil","-912.244mil","8257.795mil","T","0.00","PMBF170"
"U5","GATE_SOT23-5","-339.469mil","7937.795mil","-340mil","7937.795mil","-287.756mil","7900.394mil","T","180.00","74AHC1G14"
"C16","FP_0603_CAP_080","-600mil","7947.795mil","-600mil","7947.795mil","-600mil","7912.362mil","T","90.00","100nF"
"C6","FP_0603_CAP_080","-450mil","8527.795mil","-450mil","8527.795mil","-485.433mil","8527.795mil","T","360.00","100nF"

