"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P1","IDC2.54-V10D","3060mil","1299.449mil","3060mil","1299.449mil","2860mil","1249.449mil","T","360.00","Header 5X2"
"L1","INDP127127X85N","415mil","354.449mil","415mil","354.449mil","206.339mil","354.449mil","T","0.00","100uH"
"K2","RSY-12","2495mil","2039.449mil","2495mil","1939.449mil","2295mil","1939.449mil","T","90.00","REL1"
"K1","RSY-12","1980mil","2039.449mil","1980mil","1939.449mil","2180mil","2139.449mil","T","90.00","REL0"
"J10","Euroblock_3.5pitch_6P","2644.488mil","274.449mil","2988.976mil","274.449mil","2988.976mil","274.449mil","T","180.00","RS232"
"J5","LU1T516-43","427mil","1484.449mil","30mil","1484.449mil","352mil","1259.449mil","T","90.00","EthernetConnector"
"J4","Euroblock_3.5pitch_9P","1096.181mil","2279.449mil","545mil","2279.449mil","545mil","2279.449mil","T","360.00","LEDS"
"J1","Euroblock_3.5pitch_9P","1470.591mil","274.41mil","2021.772mil","274.41mil","2021.772mil","274.41mil","T","180.00","BUTTONS"
"J2","KLD-0202","361.26mil","844.961mil","-60mil","939.449mil","475.433mil","939.449mil","T","360.00","PWR2.5"
"J7","Euroblock_3.5pitch_6P","2259.488mil","2279.449mil","1915mil","2279.449mil","1915mil","2279.449mil","T","360.00","Relays"
"D2","DSO-C2/X2.3","750mil","853.032mil","750mil","853.032mil","750mil","941.614mil","B","270.00","D Schottky"
"D1","0805_LED","1225mil","514.016mil","1225mil","514.016mil","1225mil","478.583mil","T","90.00","PWR"
"C23","0805_CAP","4120mil","2164.449mil","4120mil","2164.449mil","4084.567mil","2164.449mil","B","0.00","CAP"
"C22","0805_CAP","1905mil","874.016mil","1905mil","874.016mil","1905mil","909.449mil","B","270.00","CAP"
"C21","0805_CAP","1935mil","1199.016mil","1935mil","1199.016mil","1935mil","1163.583mil","B","90.00","CAP"
"C20","0805_CAP","2084.567mil","1039.449mil","2084.567mil","1039.449mil","2049.134mil","1039.449mil","B","360.00","CAP"
"C37","0805_CAP","3000mil","534.016mil","3000mil","534.016mil","3000mil","569.449mil","B","270.00","CAP"
"C19","0805_CAP","1780.433mil","1159.449mil","1780.433mil","1159.449mil","1815.866mil","1159.449mil","B","180.00","CAP"
"C18","0805_CAP","2110mil","1159.016mil","2110mil","1159.016mil","2110mil","1194.449mil","B","270.00","CAP"
"C17","0805_CAP","1819.567mil","1239.449mil","1819.567mil","1239.449mil","1855mil","1239.449mil","B","180.00","CAP"
"C16","0805_CAP","2025mil","1204.016mil","2025mil","1204.016mil","2025mil","1168.583mil","B","90.00","CAP"
"C15","0805_CAP","2085.433mil","899.449mil","2085.433mil","899.449mil","2050mil","899.449mil","B","360.00","CAP"
"C14","0805_CAP","1785mil","874.882mil","1785mil","874.882mil","1785mil","910.315mil","B","270.00","CAP"
"C36","0805_CAP","3045.433mil","713.583mil","3045.433mil","713.583mil","3080.866mil","713.583mil","B","180.00","CAP"
"C35","0805_CAP","3125mil","533.15mil","3125mil","533.15mil","3125mil","568.583mil","B","270.00","CAP"
"C34","0805_CAP","3199.567mil","713.583mil","3199.567mil","713.583mil","3164.134mil","713.583mil","B","360.00","CAP"
"C33","0805_CAP","3235mil","534.016mil","3235mil","534.016mil","3235mil","569.449mil","B","270.00","CAP"
"C13","0805_CAP","639.567mil","1749.449mil","639.567mil","1749.449mil","675mil","1749.449mil","B","180.00","CAP"
"C12","0805_CAP","470mil","1399.882mil","470mil","1399.882mil","470mil","1435.315mil","B","270.00","CAP"
"C11","0805_CAP","470mil","1569.016mil","470mil","1569.016mil","470mil","1604.449mil","B","270.00","CAP"
"C10","0805_CAP","1345mil","679.449mil","1345mil","679.449mil","1345mil","714.882mil","B","270.00","CAP"
"C9","0805_CAP","1345mil","839.449mil","1345mil","839.449mil","1345mil","804.016mil","B","90.00","CAP"
"C8","0805_CAP","869.567mil","1429.449mil","869.567mil","1429.449mil","834.134mil","1429.449mil","B","360.00","CAP"
