"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"T2","FET_D2-PAK_7","1805.236mil","4530.709mil","1805.236mil","4330.709mil","1955.236mil","4330.709mil","T","0.00"," IRFS7730PBF  "
"U3","LQFP64_N","2700mil","2340mil","2700mil","2340mil","2552.362mil","2121.496mil","T","90.00","STM32F103RET6"
"U1","DIGITAL_SOIC8","2290mil","3170mil","2290mil","3170mil","2215mil","3071.575mil","T","90.00","TC4427"
"T1","FET_D2-PAK_7","1175.315mil","4530.709mil","1175.315mil","4330.709mil","1325.315mil","4330.709mil","T","0.00"," IRFS7730PBF  "
"R5","FP_0603_RES","3100mil","2040mil","3100mil","2040mil","3100mil","2004.567mil","T","90.00","47k"
"R7","FP_0603_RES","2380mil","2960mil","2380mil","2960mil","2344.567mil","2960mil","T","360.00","47k"
"C28","FP_0603_CAP_080","3020mil","2040mil","3020mil","2040mil","3020mil","2004.567mil","T","90.00","100nF"
"C11","FP_0603_CAP_080","3020mil","2180mil","3020mil","2180mil","3020mil","2144.567mil","T","90.00","100nF"
"C10","FP_0603_CAP_080","3010mil","2550mil","3010mil","2550mil","3010mil","2514.567mil","T","90.00","100nF"
"C9","FP_0603_CAP_080","2500mil","2650mil","2500mil","2650mil","2535.433mil","2650mil","T","180.00","100nF"
"C8","FP_0603_CAP_080","2380mil","2150mil","2380mil","2150mil","2380mil","2185.433mil","T","270.00","100nF"
"C22_e","CAP_ALU_ELKO_10D_10,5H","275.591mil","2283.465mil","275.591mil","2283.465mil","437.008mil","2283.465mil","T","360.00","220uF 50V"
"D22","DIODE_SMC","1125.047mil","2366.205mil","1122.047mil","2362.205mil","1125.047mil","2516.205mil","T","270.00","SS36"
"D23","DIODE_SMC","180.165mil","3173.291mil","177.165mil","3169.291mil","180.165mil","3323.291mil","T","270.00","SS36"
"C4","CAP_ALU_ELKO_10D_10,5H","1240.158mil","2795.276mil","1240.158mil","2795.276mil","1078.74mil","2795.276mil","T","180.00","1000uF 10V"
"C17","FP_1206_CAP_125","354.331mil","2007.874mil","354.331mil","2007.874mil","421.26mil","2007.874mil","T","180.00","47uF"
"C18","FP_1206_CAP_125","1377.953mil","2519.685mil","1377.953mil","2519.685mil","1311.024mil","2519.685mil","T","360.00","47uF"
