"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P2","RES_trimmer_helipot_mini_90","604.465mil","14452mil","604.465mil","14452mil","703.965mil","14452mil","T","270.00","POTI"
"C1","FP_0603_CAP_080","1020.63mil","14559.961mil","1020.63mil","14559.961mil","985.197mil","14559.961mil","B","360.00","150pF"
"C2","CAP_8x11_fekvo","1480.866mil","14395.591mil","1480.866mil","14395.591mil","1480.866mil","14464.488mil","T","0.00","1000uF"
"C3","FP_0603_CAP_080","1809.016mil","14439.85mil","1809.016mil","14439.85mil","1809.016mil","14404.417mil","B","90.00","100nF"
"C5","FP_0603_CAP_080","666.378mil","14230mil","666.378mil","14230mil","701.811mil","14230mil","B","180.00","100nF"
"C6","FP_0603_CAP_080","1294.465mil","14544.591mil","1294.465mil","14544.591mil","1294.465mil","14509.157mil","B","90.00","100nF"
"C7","FP_1206_CAP_125","1142.677mil","14584.708mil","1142.677mil","14584.708mil","1075.748mil","14584.708mil","T","360.00","22uF"
"C8","FP_0603_CAP_080","1257.465mil","14192.591mil","1257.465mil","14192.591mil","1292.898mil","14192.591mil","B","180.00","150pF"
"C9","FP_0603_CAP_080","1124.465mil","14192.591mil","1124.465mil","14192.591mil","1159.898mil","14192.591mil","B","180.00","150pF"
"C10","FP_3528","1325.748mil","14205.63mil","1325.748mil","14205.63mil","1381.851mil","14205.63mil","T","180.00","100uF"
"C11","FP_0603_CAP_080","915.866mil","14555mil","915.866mil","14555mil","915.866mil","14519.567mil","T","90.00","150pF"
"D1","SOD-80","1532.378mil","14594.409mil","1532.378mil","14594.409mil","1600.291mil","14594.409mil","T","90.00","ZENER_8.2V"
"D2","LED_IR_5mm","1323.78mil","14395.591mil","1323.78mil","14395.591mil","1323.78mil","14345.591mil","T","90.00","IR ado"
"D3","led_3mm_standing_R","1125.866mil","14395.591mil","1125.866mil","14395.591mil","1125.866mil","14445.591mil","T","90.00","LED_RED"
"D4","LED_IR_5mm","927.126mil","14395.591mil","927.126mil","14395.591mil","927.126mil","14345.591mil","T","90.00","IR vevo"
"IC1","WSON_n_SOIC8","1671.22mil","14395.591mil","1671.22mil","14395.591mil","1746.22mil","14280.591mil","B","90.00","ATtiny13"
"Q1","TR_SOT23","1205.465mil","14474.591mil","1205.465mil","14474.591mil","1242.866mil","14526.835mil","B","90.00","NPN BC847A"
"R1","FP_0603_RES","1809.016mil","14283.386mil","1809.016mil","14283.386mil","1809.016mil","14318.819mil","B","270.00","10K"
"R2","FP_0603_RES","1860.197mil","14184.961mil","1860.197mil","14184.961mil","1824.764mil","14184.961mil","T","0.00","1K5"
"R4","FP_0603_RES","1878.898mil","14581.614mil","1878.898mil","14581.614mil","1843.465mil","14581.614mil","T","360.00","1K5"
"R5","FP_0603_RES","888.74mil","14559.961mil","888.74mil","14559.961mil","853.307mil","14559.961mil","B","360.00","10K"
"R6","FP_0603_RES","458.378mil","14547mil","458.378mil","14547mil","458.378mil","14582.433mil","B","270.00","10K"
